EAT MEAT - FREE,-77dBm,1
Corporativo,-74dBm,1
NET_2G5E4433,-77dBm,11
ELO-ADM,-73dBm,9
Xplace_2G,-83dBm,3
SSID,Strength,Primary Channel
FarmaEsc,-64dBm,8
#NET-CLARO-WIFI,-81dBm,1
Oi WiFi Fon,-79dBm,6
Copel 702,-81dBm,3
UFPR_SEM_FIO,-73dBm,11
eduroam,-73dBm,11
Acqua Brasil Centro,-65dBm,6
#NET-CLARO-WIFI,-63dBm,6
UFPR_SEM_FIO,-74dBm,11
EloAmintas,-80dBm,10
AP AMINTAS - 2.4G,-73dBm,9
casa das bolachas,-60dBm,3
Monica,-82dBm,11
EAT MEAT - FREE,-65dBm,1
CUB STREET,-67dBm,1
W.Morozowski Advogados,-81dBm,1
ADM CUB,-65dBm,1
NET_2GD12F9D,-82dBm,4
TP-Link am,-80dBm,11
INTERNET LIVRE,-79dBm,6
INTERNET LIVRE,-79dBm,3
Wi-fi Arnaldo,-78dBm,11
VIVO-B9E4,-81dBm,11
Engenharia DalcaTech,-79dBm,3
VIVO-3068,-81dBm,1
FIBRA-41FC,-73dBm,1
jeep,-84dBm,1
ODONTOTEIXEIRABASTOS,-78dBm,11
lavi,-78dBm,6
VIVOFIBRA-95D6,-69dBm,11
SSID,Strength,Primary Channel
FarmaEsc,-64dBm,8
Oi WiFi Fon,-79dBm,6
Rede2,-85dBm,11
ATECE_Salao,-86dBm,6
UFPR_SEM_FIO,-73dBm,11
eduroam,-73dBm,11
macNet,-80dBm,11
karl-Nitro-AN515-51,-78dBm,1
UFPR_SEM_FIO,-74dBm,11
EloAmintas,-80dBm,10
CUB STREET,-67dBm,1
ROIT Group,-75dBm,11
ROIT Guest,-65dBm,11
ROIT Group,-71dBm,6
ROIT Guest,-63dBm,6
ROIT Group,-75dBm,6
ROIT Guest,-76dBm,6
ROIT Group,-62dBm,1
ROIT Guest,-61dBm,1
ADM CUB,-65dBm,1
NET_2GD12F9D,-82dBm,4
TP-Link am,-80dBm,11
INTERNET LIVRE,-82dBm,6
INTERNET LIVRE,-75dBm,3
DIRECT-ETNTB-RT-INV07YIJZ,-82dBm,11
Wi-fi Arnaldo,-77dBm,11
FaryLink_ED9909,-81dBm,1
Engenharia DalcaTech,-79dBm,3
FIBRA-41FC,-73dBm,1
NTB-INV-AI05,-81dBm,1
NTB-RT-INV02 0815,-76dBm,11
lavi,-78dBm,6
SSID,Strength,Primary Channel
